"ID","CHR","MAPINFO","custom_Name","custom_Group","methylated_allele","tissue_specificity","associated_gene","court","hanna","sanchez_delgado","zink","hamada","note"
"cg02933909","10",27703329,"PTCHD3","TSS200","M","other","PTCHD3",NA,TRUE,NA,NA,TRUE,""
"cg09544380","10",27703486,"PTCHD3","TSS200","M","other","PTCHD3",NA,TRUE,NA,NA,TRUE,""
"cg15283904","10",27703377,"PTCHD3","TSS200","M","other","PTCHD3",NA,TRUE,NA,NA,TRUE,""
"cg10601816","10",27703467,"PTCHD3","TSS200","M","other","PTCHD3",NA,TRUE,NA,NA,TRUE,""
"cg04500084","10",27703547,"PTCHD3","TSS1500","M","other","PTCHD3",NA,TRUE,NA,NA,TRUE,""
"cg02402587","10",27702774,"PTCHD3","1stExon","M","other","PTCHD3",NA,TRUE,NA,NA,TRUE,""
"cg00650361","10",27703289,"PTCHD3","1stExon","M","other","PTCHD3",NA,TRUE,NA,NA,TRUE,""
"cg13458005","10",27702309,"PTCHD3","1stExon","M","other","PTCHD3",NA,TRUE,NA,NA,TRUE,""
"cg18669948","10",27702528,"PTCHD3","1stExon","M","other","PTCHD3",NA,TRUE,NA,NA,TRUE,""
"cg00632657","10",27703336,"PTCHD3","TSS200","M","other","PTCHD3",NA,TRUE,NA,NA,TRUE,""
"cg14174317","10",27703362,"PTCHD3","TSS200","M","other","PTCHD3",NA,TRUE,NA,NA,TRUE,""
"cg02933909","10",27703329,"PTCHD3","TSS200","M","other","PTCHD3",NA,TRUE,NA,NA,TRUE,""
"cg09544380","10",27703486,"PTCHD3","TSS200","M","other","PTCHD3",NA,TRUE,NA,NA,TRUE,""
"cg15283904","10",27703377,"PTCHD3","TSS200","M","other","PTCHD3",NA,TRUE,NA,NA,TRUE,""
"cg10601816","10",27703467,"PTCHD3","TSS200","M","other","PTCHD3",NA,TRUE,NA,NA,TRUE,""
"cg04500084","10",27703547,"PTCHD3","TSS1500","M","other","PTCHD3",NA,TRUE,NA,NA,TRUE,""
"cg02402587","10",27702774,"PTCHD3","1stExon","M","other","PTCHD3",NA,TRUE,NA,NA,TRUE,""
"cg25436618","10",65225648,"JMJD1C-AS1","Body","M","placental-specific","JMJD1C",NA,TRUE,NA,NA,TRUE,""
"cg21042711","10",65225945,"JMJD1C-AS1","Body","M","placental-specific","JMJD1C",NA,TRUE,NA,NA,TRUE,""
"cg09674234","10",65225927,"JMJD1C-AS1","Body","M","placental-specific","JMJD1C",NA,TRUE,NA,NA,TRUE,""
"cg11467732","10",65225196,"JMJD1C","Body","M","placental-specific","JMJD1C",NA,TRUE,NA,NA,TRUE,""
"cg14726769","10",65224694,"JMJD1C","Body","M","placental-specific","JMJD1C",NA,TRUE,NA,NA,TRUE,""
"cg17775079","10",65224441,"JMJD1C","Body","M","placental-specific","JMJD1C",NA,TRUE,NA,NA,TRUE,""
"cg01667332","10",65225630,"JMJD1C","5'UTR","M","placental-specific","JMJD1C",NA,TRUE,NA,NA,TRUE,""
"cg27430682","10",65225552,"JMJD1C","5'UTR","M","placental-specific","JMJD1C",NA,TRUE,NA,NA,TRUE,""
"cg06435086","10",65225959,"JMJD1C-AS1","Body","M","placental-specific","JMJD1C",NA,TRUE,NA,NA,TRUE,""
"cg10235275","10",65225544,"JMJD1C","5'UTR","M","placental-specific","JMJD1C",NA,TRUE,NA,NA,TRUE,""
"cg00300664","10",65224816,"JMJD1C","Body","M","placental-specific","JMJD1C",NA,TRUE,NA,NA,TRUE,""
"cg19955118","10",65225999,"LOC84989","Body","M","placental-specific","JMJD1C",NA,TRUE,NA,NA,TRUE,""
"cg08222002","10",65225947,"LOC84989","Body","M","placental-specific","JMJD1C",NA,TRUE,NA,NA,TRUE,""
"cg01528832","10",65225240,"JMJD1C","Body","M","placental-specific","JMJD1C",NA,TRUE,NA,NA,TRUE,""
"cg26820037","10",103534501,"FGF8","Body","M","placental-specific","FGF8",NA,TRUE,NA,NA,NA,""
"cg09376854","10",103535775,"FGF8","1stExon","M","placental-specific","FGF8",NA,TRUE,NA,NA,NA,""
"cg11206312","10",103535398,"FGF8","Body","M","placental-specific","FGF8",NA,TRUE,NA,NA,NA,""
"cg04645545","10",103534563,"FGF8","Body","M","placental-specific","FGF8",NA,TRUE,NA,NA,NA,""
"cg16584573","10",103535637,"FGF8","1stExon","M","placental-specific","FGF8",NA,TRUE,NA,NA,NA,""
"cg07037112","10",103534934,"FGF8","Body","M","placental-specific","FGF8",NA,TRUE,NA,NA,NA,""
"cg21025552","10",103535769,"FGF8","5'UTR","M","placental-specific","FGF8",NA,TRUE,NA,NA,NA,""
"cg25209842","10",103536342,"FGF8","TSS1500","M","placental-specific","FGF8",NA,TRUE,NA,NA,NA,""
"cg16248277","10",103536063,"FGF8","TSS1500","M","placental-specific","FGF8",NA,TRUE,NA,NA,NA,""
"cg06169131","10",103536348,"FGF8","TSS1500","M","placental-specific","FGF8",NA,TRUE,NA,NA,NA,""
"cg02722214","10",121578137,"INPP5F","Body","M","other","INPP5F",TRUE,TRUE,NA,NA,NA,""
"cg26352088","10",121578129,"INPP5F","TSS1500","M","other","INPP5F",TRUE,TRUE,NA,NA,NA,""
"cg11613559","10",121577971,"INPP5F","Body","M","other","INPP5F",TRUE,TRUE,NA,NA,NA,""
"cg19978242","10",121578846,"INPP5F","Body","M","other","INPP5F",TRUE,TRUE,NA,NA,NA,""
"cg25045785","10",121578639,"INPP5F","Body","M","other","INPP5F",TRUE,TRUE,NA,NA,NA,""
"cg02857557","10",121578561,"INPP5F","Body","M","other","INPP5F",TRUE,TRUE,NA,NA,NA,""
"cg20365618","10",121578384,"INPP5F","Body","M","other","INPP5F",TRUE,TRUE,NA,NA,NA,""
"cg01729557","10",121578625,"INPP5F","TSS200","M","other","INPP5F",TRUE,TRUE,NA,NA,NA,""
"cg03129384","10",128994644,"FAM196A","TSS1500","M","placental-specific","FAM196A/DOCK1",TRUE,TRUE,NA,NA,NA,""
"cg24053748","10",128995192,"FAM196A","TSS1500","M","placental-specific","FAM196A/DOCK1",TRUE,TRUE,NA,NA,NA,""
"cg00755688","10",128994434,"FAM196A","TSS200","M","placental-specific","FAM196A/DOCK1",TRUE,TRUE,NA,NA,NA,""
"cg25984344","10",128994608,"DOCK1","Body","M","placental-specific","FAM196A/DOCK1",TRUE,TRUE,NA,NA,NA,""
"cg06525651","10",128994297,"FAM196A","1stExon","M","placental-specific","FAM196A/DOCK1",TRUE,TRUE,NA,NA,NA,""
"cg03242819","10",128994432,"DOCK1","Body","M","placental-specific","FAM196A/DOCK1",TRUE,TRUE,NA,NA,NA,""
"cg12204732","10",128994605,"DOCK1","Body","M","placental-specific","FAM196A/DOCK1",TRUE,TRUE,NA,NA,NA,""
"cg18368487","10",128994702,"FAM196A","TSS1500","M","placental-specific","FAM196A/DOCK1",TRUE,TRUE,NA,NA,NA,""
"cg03070297","10",128994603,"DOCK1","Body","M","placental-specific","FAM196A/DOCK1",TRUE,TRUE,NA,NA,NA,""
"cg00500564","10",128994030,"FAM196A","5'UTR","M","placental-specific","FAM196A/DOCK1",TRUE,TRUE,NA,NA,NA,""
"cg04128746","10",128995134,"FAM196A","TSS1500","M","placental-specific","FAM196A/DOCK1",TRUE,TRUE,NA,NA,NA,""
"cg08218734","10",128993810,"FAM196A","5'UTR","M","placental-specific","FAM196A/DOCK1",TRUE,TRUE,NA,NA,NA,""
"cg19623624","10",135278901,"LOC619207","Body","M","other","SPRN",NA,TRUE,NA,NA,NA,""
"cg17796960","10",135278976,"LOC619207","Body","M","other","SPRN",NA,TRUE,NA,NA,NA,""
"cg19904058","10",135279010,"LOC619207","Body","M","other","SPRN",NA,TRUE,NA,NA,NA,""
"cg02616786","10",135279147,"LOC619207","Body","M","other","SPRN",NA,TRUE,NA,NA,NA,""
"cg10862468","10",135342218,"CYP2E1","Body","M","placental-specific","CYP2E1",NA,TRUE,NA,NA,TRUE,""
"cg00321709","10",135341933,"CYP2E1","Body","M","placental-specific","CYP2E1",NA,TRUE,NA,NA,TRUE,""
"cg25330361","10",135342413,"CYP2E1","Body","M","placental-specific","CYP2E1",NA,TRUE,NA,NA,TRUE,""
"cg18984983","10",135342936,"CYP2E1","Body","M","placental-specific","CYP2E1",NA,TRUE,NA,NA,TRUE,""
"cg11445109","10",135343248,"CYP2E1","Body","M","placental-specific","CYP2E1",NA,TRUE,NA,NA,TRUE,""
"cg05194426","10",135343193,"CYP2E1","Body","M","placental-specific","CYP2E1",NA,TRUE,NA,NA,TRUE,""
"cg13315147","10",135341528,"CYP2E1","Body","M","placental-specific","CYP2E1",NA,TRUE,NA,NA,TRUE,""
"cg24530264","10",135342620,"CYP2E1","Body","M","placental-specific","CYP2E1",NA,TRUE,NA,NA,TRUE,""
"cg19469447","10",135341870,"CYP2E1","Body","M","placental-specific","CYP2E1",NA,TRUE,NA,NA,TRUE,""
"cg23400446","10",135342560,"CYP2E1","Body","M","placental-specific","CYP2E1",NA,TRUE,NA,NA,TRUE,""
"cg25579157","11",2020549,"H19","TSS1500","P","other","H19",TRUE,TRUE,NA,NA,NA,""
"cg03175030","11",2018143,"H19","Body","P","other","H19",TRUE,TRUE,NA,NA,NA,""
"cg04088212","11",2019859,"H19","TSS1500","P","other","H19",TRUE,TRUE,NA,NA,NA,""
"cg17769238","11",2019568,"H19","TSS1500","P","other","H19",TRUE,TRUE,NA,NA,NA,""
"cg24409677","11",2019655,"H19","TSS1500","P","other","H19",TRUE,TRUE,NA,NA,NA,""
"cg10154633","11",2019624,"H19","TSS1500","P","other","H19",TRUE,TRUE,NA,NA,NA,""
"cg14937069","11",2018088,"H19","Body","P","other","H19",TRUE,TRUE,NA,NA,NA,""
"cg16153294","11",2018227,"H19","Body","P","other","H19",TRUE,TRUE,NA,NA,NA,""
"cg18511798","11",2018149,"H19","Body","P","other","H19",TRUE,TRUE,NA,NA,NA,""
"cg13210239","11",2019090,"H19","TSS200","P","other","H19",TRUE,TRUE,NA,NA,NA,""
"cg15269875","11",2018018,"H19","Body","P","other","H19",TRUE,TRUE,NA,NA,NA,""
"cg18454954","11",2020537,"H19","TSS1500","P","other","H19",TRUE,TRUE,NA,NA,NA,""
"cg04975775","11",2019587,"H19","TSS1500","P","other","H19",TRUE,TRUE,NA,NA,NA,""
"cg19943238","11",2018095,"H19","Body","P","other","H19",TRUE,TRUE,NA,NA,NA,""
"cg19024989","11",2024126,"H19","TSS1500","P","other","H19",TRUE,TRUE,NA,NA,NA,""
"cg03996735","11",2020104,"H19","TSS1500","P","other","H19",TRUE,TRUE,NA,NA,NA,""
"cg13581483","11",2019823,"H19","TSS1500","P","other","H19",TRUE,TRUE,NA,NA,NA,""
"cg20891060","11",2023865,"H19","TSS1500","P","other","H19",TRUE,TRUE,NA,NA,NA,""
"cg27300742","11",2020129,"H19","TSS1500","P","other","H19",TRUE,TRUE,NA,NA,NA,""
"cg15394860","11",2017084,"H19","Body","P","other","H19",TRUE,TRUE,NA,NA,NA,""
"cg09701145","11",2019436,"MIR675","TSS1500","P","other","H19",TRUE,TRUE,NA,NA,NA,""
"cg22172494","11",2017362,"H19","Body","P","other","H19",TRUE,TRUE,NA,NA,NA,""
"cg16675558","11",2020101,"H19","TSS1500","P","other","H19",TRUE,TRUE,NA,NA,NA,""
"cg26857192","11",2017939,"H19","Body","P","other","H19",TRUE,TRUE,NA,NA,NA,""
"cg02864690","11",2023450,"H19","TSS1500","P","other","H19",TRUE,TRUE,NA,NA,NA,""
"cg25821896","11",2020417,"H19","TSS1500","P","other","H19",TRUE,TRUE,NA,NA,NA,""
"cg11897539","11",2017485,"H19","Body","P","other","H19",TRUE,TRUE,NA,NA,NA,""
"cg15886040","11",2019606,"H19","TSS1500","P","other","H19",TRUE,TRUE,NA,NA,NA,""
"cg18362496","11",2019930,"H19","TSS1500","P","other","H19",TRUE,TRUE,NA,NA,NA,""
"cg07342901","11",2018724,"H19","Body","P","other","H19",TRUE,TRUE,NA,NA,NA,""
"cg15317267","11",2018247,"H19","Body","P","other","H19",TRUE,TRUE,NA,NA,NA,""
"cg17985533","11",2019116,"H19","TSS200","P","other","H19",TRUE,TRUE,NA,NA,NA,""
"cg02694715","11",2019730,"H19","TSS1500","P","other","H19",TRUE,TRUE,NA,NA,NA,""
"cg02886509","11",2020556,"H19","TSS1500","P","other","H19",TRUE,TRUE,NA,NA,NA,""
"cg15922305","11",2019129,"H19","TSS200","P","other","H19",TRUE,TRUE,NA,NA,NA,""
"cg22424892","11",2018439,"H19","Body","P","other","H19",TRUE,TRUE,NA,NA,NA,""
"cg05448231","11",2018635,"H19","Body","P","other","H19",TRUE,TRUE,NA,NA,NA,""
"cg06658831","11",2022748,"H19","TSS200","P","other","H19",TRUE,TRUE,NA,NA,NA,""
"cg26808784","11",2017483,"H19","Body","P","other","H19",TRUE,TRUE,NA,NA,NA,""
"cg10602543","11",2016747,"H19","Body","P","other","H19",TRUE,TRUE,NA,NA,NA,""
"cg16574793","11",2022324,"H19","3'UTR","P","other","H19",TRUE,TRUE,NA,NA,NA,""
"cg23476401","11",2020296,"H19","TSS1500","P","other","H19",TRUE,TRUE,NA,NA,NA,""
"cg11735853","11",2019732,"H19","TSS1500","P","other","H19",TRUE,TRUE,NA,NA,NA,""
"cg24605090","11",2019943,"H19","TSS1500","P","other","H19",TRUE,TRUE,NA,NA,NA,""
"cg16303279","11",2019667,"H19","TSS1500","P","other","H19",TRUE,TRUE,NA,NA,NA,""
"cg25574978","11",2020496,"H19","TSS1500","P","other","H19",TRUE,TRUE,NA,NA,NA,""
"cg26469586","11",2019626,"H19","TSS1500","P","other","H19",TRUE,TRUE,NA,NA,NA,""
"cg18104242","11",2020118,"H19","TSS1500","P","other","H19",TRUE,TRUE,NA,NA,NA,""
"cg25852472","11",2017664,"H19","Body","P","other","H19",TRUE,TRUE,NA,NA,NA,""
"cg27372170","11",2021103,"H19","3'UTR","P","other","H19",TRUE,TRUE,NA,NA,NA,""
"cg06197492","11",2016605,"H19","Body","P","other","H19",TRUE,TRUE,NA,NA,NA,""
"cg01977486","11",2019736,"H19","TSS1500","P","other","H19",TRUE,TRUE,NA,NA,NA,""
"cg01895612","11",2020286,"H19","TSS1500","P","other","H19",TRUE,TRUE,NA,NA,NA,""
"cg23977670","11",2016848,"H19","Body","P","other","H19",TRUE,TRUE,NA,NA,NA,""
"cg09452478","11",2022386,"H19","3'UTR","P","other","H19",TRUE,TRUE,NA,NA,NA,""
"cg11716026","11",2016937,"H19","Body","P","other","H19",TRUE,TRUE,NA,NA,NA,""
"cg06982169","11",2022021,"H19","3'UTR","P","other","H19",TRUE,TRUE,NA,NA,NA,""
"cg04647234","11",2016903,"H19","Body","P","other","H19",TRUE,TRUE,NA,NA,NA,""
"cg11492040","11",2016513,"H19","Body","P","other","H19",TRUE,TRUE,NA,NA,NA,""
"cg01539474","11",2019862,"H19","TSS1500","P","other","H19",TRUE,TRUE,NA,NA,NA,""
"cg25281616","11",2020279,"H19","TSS1500","P","other","H19",TRUE,TRUE,NA,NA,NA,""
"cg22259242","11",2021243,"H19","3'UTR","P","other","H19",TRUE,TRUE,NA,NA,NA,""
"cg25437674","11",2019452,"MIR675","TSS1500","P","other","H19",TRUE,TRUE,NA,NA,NA,""
"cg02657360","11",2020560,"H19","TSS1500","P","other","H19",TRUE,TRUE,NA,NA,NA,""
"cg11753499","11",2019079,"H19","TSS200","P","other","H19",TRUE,TRUE,NA,NA,NA,""
"cg00237904","11",2020314,"H19","TSS1500","P","other","H19",TRUE,TRUE,NA,NA,NA,""
"cg21167159","11",2018154,"H19","Body","P","other","H19",TRUE,TRUE,NA,NA,NA,""
"cg26401390","11",2154638,"INS-IGF2","Body","P","other","",TRUE,NA,NA,NA,NA,""
"cg12528452","11",2154074,"INS-IGF2","Body","P","other","",TRUE,NA,NA,NA,NA,""
"cg13165070","11",2154113,"INS-IGF2","Body","P","other","",TRUE,NA,NA,NA,NA,""
"cg11717189","11",2154132,"INS-IGF2","Body","P","other","",TRUE,NA,NA,NA,NA,""
"cg05384664","11",2154934,"INS-IGF2","Body","P","other","",TRUE,NA,NA,NA,NA,""
"cg22956483","11",2154432,"INS-IGF2","Body","P","other","",TRUE,NA,NA,NA,NA,""
"cg00570518","11",2154952,"INS-IGF2","Body","P","other","",TRUE,NA,NA,NA,NA,""
"cg02807948","11",2153991,"INS-IGF2","Body","P","other","",TRUE,NA,NA,NA,NA,""
"cg02613624","11",2154386,"INS-IGF2","Body","P","other","",TRUE,NA,NA,NA,NA,""
"cg07096953","11",2154255,"INS-IGF2","Body","P","other","",TRUE,NA,NA,NA,NA,""
"cg20622142","11",2169138,"INS-IGF2","Body","P","other","",TRUE,NA,NA,NA,NA,""
"cg19642877","11",2168625,"IGF2AS","Body","P","other","",TRUE,NA,NA,NA,NA,""
"cg01734338","11",2491231,"KCNQ1","Body","M","placental-specific","KCNQ1",NA,NA,TRUE,NA,NA,""
"cg03411938","11",2700003,"KCNQ1","Body","M","other","KvDMR1",NA,NA,NA,TRUE,NA,""
"cg11297256","11",2720810,"KCNQ1","Body","M","other","KCNQ1OT1",TRUE,TRUE,NA,NA,NA,""
"cg27119222","11",2720229,"KCNQ1","Body","M","other","KCNQ1OT1",TRUE,TRUE,NA,NA,NA,""
"cg27323091","11",2721619,"KCNQ1OT1","TSS1500","M","other","KCNQ1OT1",TRUE,TRUE,NA,NA,NA,""
"cg12077660","11",2721243,"KCNQ1OT1","TSS200","M","other","KCNQ1OT1",TRUE,TRUE,NA,NA,NA,""
"cg02219360","11",2721409,"KCNQ1OT1","TSS200","M","other","KCNQ1OT1",TRUE,TRUE,NA,NA,NA,""
"cg01744331","11",2722358,"KCNQ1OT1","TSS1500","M","other","KCNQ1OT1",TRUE,TRUE,NA,NA,NA,""
"cg03401726","11",2721248,"KCNQ1OT1","TSS200","M","other","KCNQ1OT1",TRUE,TRUE,NA,NA,NA,""
"cg15651941","11",2722084,"KCNQ1OT1","TSS1500","M","other","KCNQ1OT1",TRUE,TRUE,NA,NA,NA,""
"cg12433386","11",2722340,"KCNQ1OT1","TSS1500","M","other","KCNQ1OT1",TRUE,TRUE,NA,NA,NA,""
"cg08446215","11",2721366,"KCNQ1OT1","TSS200","M","other","KCNQ1OT1",TRUE,TRUE,NA,NA,NA,""
"cg09518720","11",2721591,"KCNQ1OT1","TSS1500","M","other","KCNQ1OT1",TRUE,TRUE,NA,NA,NA,""
"cg00000924","11",2720463,"KCNQ1","Body","M","other","KCNQ1OT1",TRUE,TRUE,NA,NA,NA,""
"cg16556677","11",2722401,"KCNQ1OT1","TSS1500","M","other","KCNQ1OT1",TRUE,TRUE,NA,NA,NA,""
"cg26963277","11",2722407,"KCNQ1OT1","TSS1500","M","other","KCNQ1OT1",TRUE,TRUE,NA,NA,NA,""
"cg26104781","11",2721383,"KCNQ1OT1","TSS200","M","other","KCNQ1OT1",TRUE,TRUE,NA,NA,NA,""
"cg14958441","11",2721610,"KCNQ1OT1","TSS1500","M","other","KCNQ1OT1",TRUE,TRUE,NA,NA,NA,""
"cg08359167","11",2721351,"KCNQ1OT1","TSS200","M","other","KCNQ1OT1",TRUE,TRUE,NA,NA,NA,""
"cg05816130","11",2721799,"KCNQ1OT1","TSS1500","M","other","KCNQ1OT1",TRUE,TRUE,NA,NA,NA,""
"cg16739686","11",2721336,"KCNQ1OT1","TSS200","M","other","KCNQ1OT1",TRUE,TRUE,NA,NA,NA,""
"cg25306939","11",2722086,"KCNQ1OT1","TSS1500","M","other","KCNQ1OT1",TRUE,TRUE,NA,NA,NA,""
"cg01873334","11",2721632,"KCNQ1OT1","TSS1500","M","other","KCNQ1OT1",TRUE,TRUE,NA,NA,NA,""
"cg14243741","11",2721817,"KCNQ1OT1","TSS1500","M","other","KCNQ1OT1",TRUE,TRUE,NA,NA,NA,""
"cg11666921","11",2722062,"KCNQ1OT1","TSS1500","M","other","KCNQ1OT1",TRUE,TRUE,NA,NA,NA,""
"cg05740879","11",2721866,"KCNQ1OT1","TSS1500","M","other","KCNQ1OT1",TRUE,TRUE,NA,NA,NA,""
"cg02798157","11",2722195,"KCNQ1OT1","TSS1500","M","other","KCNQ1OT1",TRUE,TRUE,NA,NA,NA,""
"cg07595203","11",2721480,"KCNQ1OT1","TSS1500","M","other","KCNQ1OT1",TRUE,TRUE,NA,NA,NA,""
"cg01893176","11",2721952,"KCNQ1OT1","TSS1500","M","other","KCNQ1OT1",TRUE,TRUE,NA,NA,NA,""
"cg26094482","11",2722073,"KCNQ1OT1","TSS1500","M","other","KCNQ1OT1",TRUE,TRUE,NA,NA,NA,""
"cg11272547","11",2722440,"KCNQ1OT1","TSS1500","M","other","KCNQ1OT1",TRUE,TRUE,NA,NA,NA,""
"cg03422070","11",2722082,"KCNQ1OT1","TSS1500","M","other","KCNQ1OT1",TRUE,TRUE,NA,NA,NA,""
"cg06288089","11",2722119,"KCNQ1OT1","TSS1500","M","other","KCNQ1OT1",TRUE,TRUE,NA,NA,NA,""
"cg11945839","11",3663773,"ART5","TSS1500","M","other","ART5",NA,TRUE,NA,NA,NA,""
"cg27394946","11",3663359,"ART5","Body","M","other","ART5",NA,TRUE,NA,NA,NA,""
"cg20598333","11",3663511,"ART5","TSS200","M","other","ART5",NA,TRUE,NA,NA,NA,""
"cg17233491","11",3663266,"ART5","Body","M","other","ART5",NA,TRUE,NA,NA,NA,""
"cg17906744","11",3663631,"ART5","TSS200","M","other","ART5",NA,TRUE,NA,NA,NA,""
"cg02673256","11",3663842,"ART5","TSS1500","M","other","ART5",NA,TRUE,NA,NA,NA,""
"cg07624600","11",3663644,"ART5","TSS200","M","other","ART5",NA,TRUE,NA,NA,NA,""
"cg12297221","11",3663372,"ART5","1stExon","M","other","ART5",NA,TRUE,NA,NA,NA,""
"cg23438841","11",3663491,"ART5","TSS200","M","other","ART5",NA,TRUE,NA,NA,NA,""
"cg20529489","11",3663532,"ART5","TSS200","M","other","ART5",NA,TRUE,NA,NA,NA,""
"cg20918128","11",3663777,"ART5","TSS1500","M","other","ART5",NA,TRUE,NA,NA,NA,""
"cg25662535","11",3663801,"ART5","TSS1500","M","other","ART5",NA,TRUE,NA,NA,NA,""
"cg01094564","11",3663198,"ART5","1stExon","M","other","ART5",NA,TRUE,NA,NA,NA,""
"cg06974175","11",3662967,"ART5","Body","M","other","ART5",NA,TRUE,NA,NA,NA,""
"cg05367858","11",10562295,"RNF141","5'UTR","M","placental-specific","RNF141",NA,TRUE,NA,NA,NA,""
"cg16466850","11",10562687,"RNF141","5'UTR","M","placental-specific","RNF141",NA,TRUE,NA,NA,NA,""
"cg08220519","11",10562913,"RNF141","TSS200","M","placental-specific","RNF141",NA,TRUE,NA,NA,NA,""
"cg01494614","11",10562837,"RNF141","TSS200","M","placental-specific","RNF141",NA,TRUE,NA,NA,NA,""
"cg04219175","11",10562941,"RNF141","TSS200","M","placental-specific","RNF141",NA,TRUE,NA,NA,NA,""
"cg12097945","11",10562746,"RNF141","1stExon","M","placental-specific","RNF141",NA,TRUE,NA,NA,NA,""
"cg25100532","11",10562910,"RNF141","TSS200","M","placental-specific","RNF141",NA,TRUE,NA,NA,NA,""
"cg09657348","11",10562473,"RNF141","5'UTR","M","placental-specific","RNF141",NA,TRUE,NA,NA,NA,""
"cg00542402","11",10562851,"RNF141","TSS200","M","placental-specific","RNF141",NA,TRUE,NA,NA,NA,""
"cg18004068","11",10562070,"RNF141","5'UTR","M","placental-specific","RNF141",NA,TRUE,NA,NA,NA,""
"cg08502759","11",10562853,"RNF141","TSS200","M","placental-specific","RNF141",NA,TRUE,NA,NA,NA,""
"cg23669896","11",10562165,"RNF141","5'UTR","M","placental-specific","RNF141",NA,TRUE,NA,NA,NA,""
"cg10133630","11",10563302,"RNF141","TSS1500","M","placental-specific","RNF141",NA,TRUE,NA,NA,NA,""
"cg08670210","11",10563297,"RNF141","TSS1500","M","placental-specific","RNF141",NA,TRUE,NA,NA,NA,""
"cg15563382","11",10563039,"RNF141","TSS1500","M","placental-specific","RNF141",NA,TRUE,NA,NA,NA,""
"cg05899726","11",19366793,"","","M","placental-specific","NAV2",NA,TRUE,NA,NA,NA,""
"cg21741220","11",19367175,"","","M","placental-specific","NAV2",NA,TRUE,NA,NA,NA,""
"cg14271645","11",19367428,"","","M","placental-specific","NAV2",NA,TRUE,NA,NA,NA,""
"cg10955973","11",19366714,"","","M","placental-specific","NAV2",NA,TRUE,NA,NA,NA,""
"cg05449100","11",19367501,"","","M","placental-specific","NAV2",NA,TRUE,NA,NA,NA,""
"cg12529275","11",19367531,"","","M","placental-specific","NAV2",NA,TRUE,NA,NA,NA,""
"cg18411500","11",19367556,"","","M","placental-specific","NAV2",NA,TRUE,NA,NA,NA,""
"cg22855325","11",19368277,"","","M","placental-specific","NAV2",NA,TRUE,NA,NA,NA,""
"cg15442988","11",19367937,"","","M","placental-specific","NAV2",NA,TRUE,NA,NA,NA,""
"cg00589305","11",19367621,"","","M","placental-specific","NAV2",NA,TRUE,NA,NA,NA,""
"cg00504010","11",19367766,"","","M","placental-specific","NAV2",NA,TRUE,NA,NA,NA,""
"cg01798033","11",19368221,"","","M","placental-specific","NAV2",NA,TRUE,NA,NA,NA,""
"cg05976955","11",19366443,"","","M","placental-specific","NAV2",NA,TRUE,NA,NA,NA,""
"cg00606902","11",19366654,"","","M","placental-specific","NAV2",NA,TRUE,NA,NA,NA,""
"cg16785412","11",19367404,"","","M","placental-specific","NAV2",NA,TRUE,NA,NA,NA,""
"cg23580038","11",45201741,"PRDM11","Body","M","placental-specific","PRDM11",NA,TRUE,NA,NA,NA,""
"cg01732495","11",45201855,"PRDM11","Body","M","placental-specific","PRDM11",NA,TRUE,NA,NA,NA,""
"cg05949352","11",45202135,"PRDM11","Body","M","placental-specific","PRDM11",NA,TRUE,NA,NA,NA,""
"cg20690774","11",45202557,"PRDM11","Body","M","placental-specific","PRDM11",NA,TRUE,NA,NA,NA,""
"cg07065803","11",45921557,"MAPK8IP1","Body","M","placental-specific","MAPK8IP1",NA,TRUE,NA,NA,NA,""
"cg19021383","11",45922184,"MAPK8IP1","Body","M","placental-specific","MAPK8IP1",NA,TRUE,NA,NA,NA,""
"cg10013070","11",45921510,"MAPK8IP1","Body","M","placental-specific","MAPK8IP1",NA,TRUE,NA,NA,NA,""
"cg21670404","11",45921516,"MAPK8IP1","Body","M","placental-specific","MAPK8IP1",NA,TRUE,NA,NA,NA,""
"cg23192120","11",45921134,"MAPK8IP1","Body","M","placental-specific","MAPK8IP1",NA,TRUE,NA,NA,NA,""
"cg14877352","11",45921388,"MAPK8IP1","Body","M","placental-specific","MAPK8IP1",NA,TRUE,NA,NA,NA,""
"cg12843022","11",45921959,"MAPK8IP1","Body","M","placental-specific","MAPK8IP1",NA,TRUE,NA,NA,NA,""
"cg08214808","11",45922166,"MAPK8IP1","Body","M","placental-specific","MAPK8IP1",NA,TRUE,NA,NA,NA,""
"cg16455781","11",45921342,"MAPK8IP1","Body","M","placental-specific","MAPK8IP1",NA,TRUE,NA,NA,NA,""
"cg23009355","11",68451396,"GAL","TSS1500","M","placental-specific","GAL",NA,TRUE,NA,NA,NA,""
"cg08785534","11",68451827,"GAL","TSS200","M","placental-specific","GAL",NA,TRUE,NA,NA,NA,""
"cg22370235","11",68451852,"GAL","TSS200","M","placental-specific","GAL",NA,TRUE,NA,NA,NA,""
"cg04739953","11",68451858,"GAL","TSS200","M","placental-specific","GAL",NA,TRUE,NA,NA,NA,""
"cg00226931","11",68452097,"GAL","1stExon","M","placental-specific","GAL",NA,TRUE,NA,NA,NA,""
"cg12603576","11",68451829,"GAL","TSS200","M","placental-specific","GAL",NA,TRUE,NA,NA,NA,""
"cg21075278","11",68452087,"GAL","1stExon","M","placental-specific","GAL",NA,TRUE,NA,NA,NA,""
